date,Underlying_date,Underlying_close,Underlying_high,Underlying_low,Underlying_open,Underlying_volume,23.0_close,23.0_high,23.0_low,23.0_open,23.0_volume,23.5_close,23.5_high,23.5_low,23.5_open,23.5_volume,24.0_close,24.0_high,24.0_low,24.0_open,24.0_volume,24.5_close,24.5_high,24.5_low,24.5_open,24.5_volume,25.0_close,25.0_high,25.0_low,25.0_open,25.0_volume,25.5_close,25.5_high,25.5_low,25.5_open,25.5_volume,26.0_close,26.0_high,26.0_low,26.0_open,26.0_volume,26.5_close,26.5_high,26.5_low,26.5_open,26.5_volume,27.0_close,27.0_high,27.0_low,27.0_open,27.0_volume,27.5_close,27.5_high,27.5_low,27.5_open,27.5_volume,28.0_close,28.0_high,28.0_low,28.0_open,28.0_volume,28.5_close,28.5_high,28.5_low,28.5_open,28.5_volume,29.0_close,29.0_high,29.0_low,29.0_open,29.0_volume,29.5_close,29.5_high,29.5_low,29.5_open,29.5_volume
2019-06-11,2019-06-11,27.91,28.3,27.3,27.4,18841531.0,,,,,,,,,,,3.95,4.35,3.94,4.35,70.0,,,,,,3.15,3.4,2.85,2.85,27.0,2.73,2.73,2.73,2.73,4.0,2.38,2.65,2.11,2.18,113.0,2.06,2.39,1.84,1.84,213.0,2.0,2.05,1.74,1.81,1052.0,1.69,1.85,1.32,1.32,63.0,1.34,1.62,1.21,1.27,120.0,1.28,1.42,1.07,1.1,140.0,1.06,1.23,0.9,0.9,261.0,1.0,1.01,0.8,0.8,789.0
2019-06-12,2019-06-12,27.78,28.3,27.66,28.11,14225241.0,5.12,5.12,5.12,5.12,4.0,,,,,,4.15,4.15,4.15,4.15,3.0,,,,,,3.25,3.25,3.25,3.25,20.0,2.52,2.73,2.52,2.73,49.0,2.2,2.54,2.2,2.54,4.0,1.94,2.34,1.93,2.34,294.0,1.69,2.03,1.6,2.03,85.0,1.39,1.67,1.38,1.67,44.0,1.22,1.57,1.22,1.55,93.0,1.06,1.37,1.03,1.35,71.0,0.91,1.14,0.91,1.1,165.0,0.79,0.98,0.79,0.98,36.0
2019-06-13,2019-06-13,27.61,27.905,27.33,27.45,17051858.0,,,,,,,,,,,3.62,3.62,3.62,3.62,60.0,,,,,,2.87,2.87,2.64,2.64,13.0,2.4,2.4,2.19,2.19,27.0,2.07,2.1,1.97,1.98,176.0,1.76,1.76,1.63,1.63,170.0,1.47,1.58,1.39,1.41,102.0,1.39,1.4,1.15,1.2,128.0,1.21,1.21,1.0,1.01,151.0,1.01,1.01,0.85,0.89,127.0,0.78,0.86,0.71,0.75,408.0,0.71,0.75,0.64,0.65,189.0
2019-06-14,2019-06-14,27.32,28.06,27.28,27.8,13682989.0,,,,,,,,,,,3.72,4.04,3.72,4.04,2.0,2.93,2.93,2.93,2.93,20.0,2.5,3.1,2.5,3.1,65.0,2.25,2.51,2.25,2.51,35.0,1.74,2.32,1.74,2.28,450.0,1.47,1.96,1.44,1.96,199.0,1.19,1.68,1.19,1.62,338.0,1.01,1.42,0.99,1.4,151.0,0.81,1.24,0.81,1.18,1281.0,0.73,1.03,0.73,0.99,99.0,0.59,0.89,0.59,0.89,320.0,0.5,0.68,0.5,0.68,87.0
2019-06-17,2019-06-17,27.03,27.36,26.8815,27.29,14470210.0,4.02,4.23,4.02,4.23,30.0,,,,,,3.19,3.19,3.19,3.19,1.0,2.55,2.72,2.5,2.54,214.0,2.1,2.38,2.09,2.38,450.0,1.82,1.93,1.73,1.78,444.0,1.48,1.68,1.4,1.68,1214.0,1.15,1.33,1.15,1.33,596.0,1.01,1.15,0.92,1.15,512.0,0.8,0.95,0.76,0.94,1200.0,0.65,0.79,0.6,0.79,6532.0,0.55,0.66,0.51,0.66,2056.0,0.44,0.55,0.42,0.55,130.0,0.38,0.4,0.36,0.36,25.0
2019-06-18,2019-06-18,26.82,26.98,26.35,26.54,24889651.0,3.63,3.65,3.6,3.65,32.0,,,,,,2.6,2.67,2.5,2.63,110.0,2.41,2.46,2.15,2.19,64.0,2.04,2.15,1.65,1.85,691.0,1.66,1.86,1.37,1.46,280.0,1.47,1.55,1.11,1.18,755.0,1.15,1.26,0.87,0.97,565.0,0.95,1.02,0.71,0.76,540.0,0.8,0.85,0.57,0.63,383.0,0.64,0.72,0.46,0.53,22449.0,0.55,0.55,0.39,0.39,158.0,0.48,0.49,0.31,0.35,779.0,0.37,0.38,0.28,0.29,137.0
2019-06-19,2019-06-19,25.93,26.93,25.88,26.65,29671248.0,,,,,,3.35,3.35,3.35,3.35,11.0,2.13,2.75,2.13,2.75,107.0,1.67,2.45,1.67,2.45,131.0,1.33,2.07,1.33,1.96,664.0,1.05,1.73,1.05,1.62,392.0,0.8,1.45,0.8,1.34,873.0,0.68,1.2,0.67,1.15,1265.0,0.52,1.05,0.52,0.94,925.0,0.45,0.83,0.42,0.77,454.0,0.35,0.75,0.34,0.63,11575.0,0.29,0.57,0.29,0.52,490.0,0.24,1.35,0.24,0.52,1321.0,0.2,1.28,0.2,0.37,892.0
2019-06-20,2019-06-20,26.01,26.82,25.26,25.46,34444193.0,2.94,3.25,2.35,2.4,83.0,2.48,2.98,1.96,2.03,232.0,2.05,2.49,1.53,1.65,104.0,1.67,2.33,1.19,1.27,671.0,1.45,2.05,0.92,1.03,4307.0,1.12,1.6,0.72,0.79,1876.0,0.85,1.42,0.56,0.7,2694.0,0.73,1.18,0.44,0.56,2317.0,0.58,1.04,0.35,0.44,13019.0,0.48,0.79,0.28,0.32,1917.0,0.4,0.7,0.23,0.25,1879.0,0.3,0.55,0.19,0.19,1877.0,0.27,0.49,0.15,0.16,620.0,0.19,0.33,0.18,0.18,48.0
2019-06-21,2019-06-21,26.62,26.81,25.885,26.2,19740690.0,3.16,3.16,3.16,3.16,2.0,2.82,2.82,2.53,2.79,56.0,2.7,2.7,2.07,2.21,76.0,1.74,1.74,1.65,1.68,52.0,1.86,1.86,1.23,1.55,1829.0,1.28,1.47,0.98,1.22,905.0,0.99,1.15,0.74,1.0,5680.0,0.83,0.9,0.57,0.82,1406.0,0.68,0.71,0.44,0.65,3795.0,0.53,0.56,0.34,0.55,3348.0,0.36,0.44,0.27,0.44,1987.0,0.33,0.38,0.22,0.31,2778.0,0.25,0.28,0.17,0.28,961.0,0.22,0.23,0.13,0.23,667.0
2019-06-24,2019-06-24,26.38,26.52,26.14,26.45,12634966.0,3.4,3.45,3.2,3.39,57.0,2.91,2.95,2.76,2.9,78.0,2.42,2.42,2.25,2.42,31.0,1.95,1.95,1.79,1.95,78.0,1.48,1.56,1.34,1.56,928.0,1.13,1.21,0.98,1.18,449.0,0.76,0.93,0.69,0.93,1622.0,0.54,0.75,0.52,0.59,1110.0,0.41,0.54,0.15,0.15,4674.0,0.28,0.41,0.26,0.4,3369.0,0.22,0.32,0.2,0.3,4062.0,0.17,0.25,0.15,0.25,531.0,0.13,0.18,0.12,0.18,589.0,0.1,0.14,0.1,0.13,418.0
